Player,College,Height,Weight,College_Rec,College_Yards,College_TDs,YPG,Scenario,Draft_Round,RF_Pred_AV,XGB_Pred_AV,Avg_Pred_AV,Production_Score
Camden Brown,Georgia Southern,74.0,200.0,60.0,969.0,14.0,74.5,Round 1 (Elite Picks 1-32),1,18.3,5.3,11.8,92.94
Corey Rucker,Arkansas State,72.0,213.0,70.0,944.0,13.0,72.6,Round 1 (Elite Picks 1-32),1,33.0,24.1,28.6,92.74
Jalen Walthall,Incarnate Word,73.0,180.0,61.0,791.0,11.0,87.9,Round 1 (Elite Picks 1-32),1,13.2,5.3,9.3,92.16
Anthony Smith,East Carolina,75.0,189.0,59.0,947.0,14.0,72.8,Round 1 (Elite Picks 1-32),1,24.8,16.1,20.5,91.57
Brenen Thompson,Mississippi State,69.0,170.0,53.0,979.0,14.0,75.3,Round 1 (Elite Picks 1-32),1,17.6,5.3,11.4,91.34
Mario Craver,Texas A&M,69.0,165.0,59.0,911.0,13.0,75.9,Round 1 (Elite Picks 1-32),1,9.2,6.8,8.0,90.76
Nik McMillan,Buffalo,73.0,187.0,60.0,901.0,13.0,75.1,Round 1 (Elite Picks 1-32),1,14.3,5.3,9.8,90.56
Iverson Hooks,UAB,70.0,175.0,69.0,869.0,12.0,72.4,Round 1 (Elite Picks 1-32),1,11.7,7.9,9.8,89.59
Parker Kingston,BYU,71.0,185.0,66.0,926.0,13.0,66.1,Round 1 (Elite Picks 1-32),1,13.1,7.9,10.5,88.11
Pofele Ashlock,Hawai'i,74.0,185.0,73.0,808.0,12.0,67.3,Round 1 (Elite Picks 1-32),1,7.7,6.8,7.2,87.63
Hank Beatty,Illinois,71.0,185.0,69.0,863.0,12.0,66.4,Round 1 (Elite Picks 1-32),1,15.7,5.3,10.5,86.53
Harrison Wallace III,Ole Miss,73.0,195.0,60.0,910.0,13.0,65.0,Round 1 (Elite Picks 1-32),1,15.6,5.3,10.4,85.6
Eli Heidenreich,Navy,72.0,206.0,49.0,924.0,13.0,71.1,Round 1 (Elite Picks 1-32),1,6.5,4.5,5.5,85.49
Braden Pegan,Utah State,75.0,210.0,59.0,829.0,12.0,69.1,Round 1 (Elite Picks 1-32),1,12.6,5.3,8.9,84.53999999999999
Chris Dawn Jr.,Texas State,67.0,170.0,28.0,622.0,9.0,103.7,Round 1 (Elite Picks 1-32),1,9.8,6.1,8.0,84.47
Chauncy Cobb,Arkansas State,66.0,163.0,71.0,806.0,12.0,62.0,Round 1 (Elite Picks 1-32),1,7.9,4.1,6.0,84.36
Carnell Tate,Ohio State,75.0,195.0,49.0,823.0,12.0,74.8,Round 1 (Elite Picks 1-32),1,12.7,5.3,9.0,84.33
Devin Voisin,South Alabama,70.0,187.0,68.0,799.0,11.0,66.6,Round 1 (Elite Picks 1-32),1,28.0,21.0,24.5,83.69
Jordyn Tyson,Arizona State,74.0,200.0,59.0,701.0,10.0,77.9,Round 1 (Elite Picks 1-32),1,12.2,8.9,10.6,83.66
Denzel Boston,Washington,76.0,209.0,58.0,786.0,11.0,71.5,Round 1 (Elite Picks 1-32),1,14.8,5.3,10.0,83.00999999999999
Germie Bernard,Alabama,73.0,204.0,63.0,866.0,12.0,61.9,Round 1 (Elite Picks 1-32),1,20.8,16.1,18.5,82.51
Sean Wilson,Delaware,72.0,185.0,63.0,806.0,12.0,62.0,Round 1 (Elite Picks 1-32),1,7.3,4.1,5.7,81.96000000000001
Kam Perry,Miami (OH),69.0,168.0,41.0,901.0,13.0,69.3,Round 1 (Elite Picks 1-32),1,15.0,5.3,10.2,81.96000000000001
Kyre Duplessis,Delaware,71.0,190.0,59.0,831.0,12.0,63.9,Round 1 (Elite Picks 1-32),1,15.2,5.3,10.2,81.96
Trell Harris,Virginia,72.0,200.0,58.0,833.0,12.0,64.1,Round 1 (Elite Picks 1-32),1,12.5,7.9,10.2,81.78
Trent Walker,Oregon State,74.0,194.0,59.0,758.0,11.0,68.9,Round 1 (Elite Picks 1-32),1,11.6,8.9,10.3,81.73
Zachariah Branch,Georgia,70.0,180.0,78.0,794.0,11.0,56.7,Round 1 (Elite Picks 1-32),1,13.6,5.3,9.5,81.69
Anthony Evans III,Mississippi State,71.0,180.0,63.0,785.0,11.0,65.4,Round 1 (Elite Picks 1-32),1,12.2,7.9,10.1,81.45
Kris Hutson,Arizona,71.0,174.0,58.0,754.0,11.0,68.5,Round 1 (Elite Picks 1-32),1,46.0,29.6,37.8,81.19
Isaiah Sategna,Oklahoma,70.0,182.0,61.0,781.0,11.0,65.1,Round 1 (Elite Picks 1-32),1,8.4,6.8,7.6,80.66
KC Concepcion,Texas A&M,71.0,190.0,56.0,814.0,12.0,62.6,Round 1 (Elite Picks 1-32),1,13.0,5.3,9.1,80.24
Victor Snow,Buffalo,68.0,168.0,59.0,783.0,11.0,65.2,Round 1 (Elite Picks 1-32),1,8.0,4.1,6.0,80.13
Matthew Henry,Western Kentucky,71.0,176.0,52.0,833.0,12.0,64.1,Round 1 (Elite Picks 1-32),1,7.8,4.1,5.9,79.97999999999999
Trond Grizzell,California,76.0,205.0,56.0,795.0,11.0,66.2,Round 1 (Elite Picks 1-32),1,14.0,5.3,9.6,79.85
Kevin Coleman Jr.,Missouri,71.0,180.0,66.0,736.0,11.0,61.3,Round 1 (Elite Picks 1-32),1,20.1,21.5,20.8,79.81
Jaden Bradley,UNLV,76.0,195.0,54.0,866.0,12.0,61.9,Round 1 (Elite Picks 1-32),1,29.6,20.2,24.9,79.81
Braylon Staley,Tennessee,72.0,190.0,65.0,782.0,11.0,60.2,Round 1 (Elite Picks 1-32),1,7.1,4.1,5.6,79.42
Omar Cooper Jr.,Indiana,72.0,201.0,59.0,814.0,12.0,58.1,Round 1 (Elite Picks 1-32),1,16.3,5.3,10.8,78.89
Ian Strong,Rutgers,75.0,215.0,51.0,722.0,10.0,72.2,Round 1 (Elite Picks 1-32),1,7.4,6.1,6.7,78.62
